disease,treatment
carcinoma of lung,"Treatments vary but may include surgery, chemotherapy, radiation therapy, targeted drug therapy and immunotherapy."

carcinoma prostate,"Some types of prostate cancer grow slowly. In some of these cases, monitoring is recommended. Other types are aggressive and require radiation, surgery, hormone therapy, chemotherapy or other treatments."

cardiomyopathy,"Treatments include drugs, implanted devices, surgery and in severe cases, transplant."

cellulitis,"Without treatment with an antibiotic, cellulitis can be life-threatening."

cholecystitis,Treatment includes a hospital stay and surgical removal.

cholelithiasis,People who experience symptoms usually require gallbladder removal surgery. Gallstones that don't cause symptoms usually don't need treatment.

chronic alcoholic intoxication,"Alcohol intoxication is managed with rest, hydration and stopping alcohol use. Severe cases require hospital admission, intravenous fluids, observation and supportive care."

chronic kidney failure,"Medication helps manage symptoms. In later stages, filtering the blood with a machine (dialysis) or a transplant may be required."

chronic obstructive airway disease,Rescue inhalers and inhaled or oral steroids can help control symptoms and minimise further damage.

cirrhosis,"Treatments focus on the underlying cause. In advanced cases, a liver transplant may be required."

colitis,Treatment includes medication and surgery.

confusion

coronary arteriosclerosis,"Treatments include lifestyle changes, medication, angioplasty and surgery."

coronary heart disease,"Treatments include lifestyle changes, medication, angioplasty and surgery."

decubitus ulcer,Bed sores can be difficult to treat. Treatment includes cleaning and dressing the wound along with reducing pressure on the sore by frequent changes in position.

deep vein thrombosis,Treatments include medication and use of compression stockings.

degenerative polyarthritis

deglutition disorder

dehydration

delirium

delusion

dementia,Medication and therapies may help manage symptoms. Some causes are reversible.

dependence

depression mental,"The mainstay of treatment is usually medication, talk therapy or a combination of the two. Increasingly, research suggests that these treatments may normalise brain changes associated with depression."

depressive disorder,"The mainstay of treatment is usually medication, talk therapy or a combination of the two. Increasingly, research suggests that these treatments may normalise brain changes associated with depression."

diabetes

diverticulitis,"Treatment can include rest, a liquid or low-fibre diet and antibiotics. Severe cases may need hospital care and surgery. Doctors may recommend a high-fibre diet after recovery to prevent future episodes."

diverticulosis,Treatment generally isn't required unless there is inflammation (diverticulitis).

edema pulmonary,Treatment generally includes supplemental oxygen and medication.

effusion pericardial

embolism pulmonary,Prompt treatment to break up the clot greatly reduces the risk of death. This can be done with blood thinners and drugs or procedures. Compression stockings and physical activity can help prevent clots from forming in the first place.

emphysema pulmonary

encephalopathy,"Treatment, such as anti-seizure medication, may help manage some symptoms. Antiviral medication may be used to treat encephalitis caused by a viral infection."

endocarditis,The main treatment is antibiotics. Sometimes surgery is required.

epilepsy,"Epilepsy is usually treated by medication and in some cases by surgery, devices or dietary changes."

exanthema

failure heart,"Treatments can include eating less salt, limiting fluid intake and taking prescription medication. In some cases a defibrillator or pacemaker may be implanted."

failure heart congestive,"Treatments can include eating less salt, limiting fluid intake and taking prescription medication. In some cases a defibrillator or pacemaker may be implanted."

failure kidney

fibroid tumor,Treatments include medication and removal of the fibroid.

gastritis,Treatment depends on the cause. Antibiotics and antacids might help.

gastroenteritis,Avoiding contaminated food and water and washing hands can often help prevent infection. Rest and rehydration are the mainstays of treatment.

gastroesophageal reflux disease,Relief from lifestyle changes and over-the-counter medication is usually temporary. Stronger medication may be required.

glaucoma,"Treatment includes eye drops, medication and surgery."

gout,"During an acute attack, anti-inflammatory medication (NSAIDs) can help to relieve pain and shorten the duration of the attack. Patients with chronic gout can use behavioural modification such as diet, exercise and decreased intake of alcohol to help minimise the frequency of attacks. Additionally, patients with chronic gout are often put on medication to reduce uric acid levels."

hemiparesis

hemorrhoids,"A high-fibre diet can be effective, along with stool softeners. In some cases, a medical procedure to remove the haemorrhoid may be needed to provide relief."

hepatitis

hepatitis B,The condition often clears up on its own. Chronic cases require medication and possibly a liver transplant.

hepatitis C,"Hepatitis C is treated with antiviral medication. In some people, newer medicines can eradicate the virus."

hernia,"Treatment includes monitoring the condition. If required, surgery can return tissue to its normal location and close the opening."

hernia hiatal,Hiatus hernias may not require any treatment. Some are treated with drugs and a few types need surgical repair.

hiv infections,"No cure exists for AIDS, but strict adherence to antiretroviral regimens (ARVs) can dramatically slow the disease's progress as well as prevent secondary infections and complications."

hyperbilirubinemia

hypercholesterolemia,"Treatments include medication, a healthy diet and exercise."

hyperglycemia

hyperlipidemia,"Treatments include medication, a healthy diet and exercise."

hypertension pulmonary,"The condition worsens over time, but medication and oxygen therapy can help lessen symptoms and improve quality of life."

hypertensive disease,"Eating a healthier diet with less salt, exercising regularly and taking medication can help lower blood pressure."

hypoglycemia,"Consuming high-sugar foods or drinks, such as orange juice or regular fizzy drinks, can treat this condition. Alternatively, medication can be used to raise blood sugar levels. It's also important that a doctor identifies and treats the underlying cause."

hypothyroidism,Treatment consists of thyroid hormone replacement.

ileus,"Ileus is treated by resting the bowel (allowing only sips of liquids and no food by mouth), providing intravenous fluids and electrolytes as required. Sometimes, passing a tube from the nose to the stomach or small intestine to suck out air can relieve abdominal swelling while waiting for bowel function to return."

incontinence

infection

infection urinary tract,Common treatment is with antibiotics.

influenza,Flu is primarily treated with rest and fluid intake to allow the body to fight the infection on its own. Paracetamol may help cure the symptoms but NSAIDs should be avoided. An annual vaccine can help prevent the flu and limit its complications.

insufficiency renal

ischemia,"Treatments include lifestyle changes, medication, angioplasty and surgery."

ketoacidosis diabetic,Hospital treatment to replace fluids and electrolytes and provide insulin therapy may be required.

kidney disease,"Medication helps manage symptoms. In later stages, filtering the blood with a machine (dialysis) or a transplant may be required."

kidney failure acute,"In addition to addressing the underlying cause, treatments include fluids, medication and dialysis."

lymphatic diseases

lymphoma,"Treatment may involve chemotherapy, medication, radiation therapy and rarely stem-cell transplant."

malignant neoplasm of breast,"Its treatment depends on the stage of cancer. It may consist of chemotherapy, radiation, hormone therapy and surgery."

malignant neoplasm of lung,"Treatments vary but may include surgery, chemotherapy, radiation therapy, targeted drug therapy and immunotherapy."

malignant neoplasm of prostate,"Some types of prostate cancer grow slowly. In some of these cases, monitoring is recommended. Other types are aggressive and require radiation, surgery, hormone therapy, chemotherapy or other treatments."

malignant neoplasms

malignant tumor of colon,"Colorectal cancer treatment depends on the size, location and how far the cancer has spread. Common treatments include surgery to remove the cancer, chemotherapy and radiation therapy."

malignant neoplasms

manic disorder,Treatment is usually lifelong and often involves a combination of medications and psychotherapy.

melanoma,"Treatment may involve surgery, radiation, medication or in some cases, chemotherapy."

migraine disorders,Preventive and pain-relieving medication can help manage migraine headaches.

mitral valve insufficiency,"Some people may not need treatment. More severe cases may require medication, such as diuretics and blood thinners, or surgery."

myocardial infarction,"Treatment ranges from lifestyle changes and cardiac rehabilitation to medication, stents and bypass surgery."

neoplasm

neoplasm metastasis

neuropathy,"Treatments include antidepressants such as amitriptyline, pain medication such as oxycodone, anti-seizure medication and pain-relieving creams. It's also important to treat the underlying condition."

neutropenia,"Management of this condition includes treating the underlying cause, as well as medication that increases neutrophil counts. Avoiding anyone who is sick and practising good hygiene can help reduce the risk of infection."

obesity,The mainstay of treatment is lifestyle changes such as diet and exercise.

obesity morbid

oralcandidiasis,Unsweetened yoghurt or an anti-fungal medication can help.

osteomyelitis,"Treatment is usually surgery to remove portions of bone that have died. This is followed by strong antibiotics, often by an IV, for at least six weeks."

osteoporosis,"Treatment includes medication, a healthy diet and weight-bearing exercise to help prevent bone loss or strengthen already weak bones."

overload fluid,"Treatments include medication, such as diuretics, and a low-salt diet. Any underlying conditions need treatment."

pancreatitis,"Treatment usually requires hospitalisation. Once they stabilise the patient, doctors treat the underlying cause."

pancytopenia

paranoia

parkinson disease,Medication can help control the symptoms of Parkinson's.

paroxysmal dyspnea

pericardial effusion body substance

peripheral vascular disease,"Tobacco cessation, exercise and a healthy diet are often successful treatments. When these changes aren't enough, medication or surgery can help."

personality disorder

pneumonia,Antibiotics can treat many forms of pneumonia. Some forms of pneumonia can be prevented by vaccines.

pneumonia aspiration

pneumothorax,"When a pneumothorax is large, a needle or tube is used to remove excess air."

primary carcinoma of the liver cells

primary malignant neoplasm

psychotic disorder,Treatment may include medication and talk therapy.

pyelonephritis,Treatment includes antibiotics and often requires hospitalisation.

respiratory failure

schizophrenia,"Treatment is usually lifelong and often involves a combination of medications, psychotherapy and coordinated speciality care services."

sepsis (invertebrate)

septicemia,Treatment includes antibiotics and intravenous fluids.

sickle cell anemia,"Treatments include medication, blood transfusions and rarely a bone-marrow transplant."

spasm bronchial

stenosis aortic valve,"Mild cases may not need treatment. In severe cases, surgery can repair or replace the valve."

suicide attempt

systemic infection

tachycardia sinus

thrombocytopaenia

thrombus

tonic-clonic epilepsy,Many people will have only one such seizure in their lifetime. Others may need daily anti-seizure medication to prevent recurrence.

tonic-clonic seizures,Many people will have only one such seizure in their lifetime. Others may need daily anti-seizure medication to prevent recurrence.

transient ischemic attack,"Treatment includes medication, surgery and healthy lifestyle changes."

tricuspid valve insufficiency

ulcer peptic,"Treatment usually includes medication to decrease stomach acid production. If it is caused by bacteria, antibiotics may be required."

upper respiratory infection,Treatment includes rest and medication to relieve symptoms.

